Causa,Efeito,Tipo_Relacao,Frequencia
taheri s,elevated ghrelin,general,1
taheri s,increase body mass index,general,1
taheri s,reduce leptin,general,1
tannin,α - amylase,general,1
tannin,α - glucosidase,general,1
taxon,abundance,general,1
taxon,exercise intervention,general,1
tea consumption,elevated level,general,1
technological development,big and bright self - luminous electronic device,general,1
technology development,big and bright self - luminous electronic device,general,1
telomere,prevalence,general,1
telomere attrition,50 n increase,general,1
ter wal p,breath methane,general,1
ter wal p,serum acetate concentration,general,1
teration,hormonal disturbance,general,1
christou nv,mor bidity,general,1
chronic alcohol consumption,gastrointestinal motility,general,1
th1 - and th2 - associate cytokine,production,general,1
chronic constipation,population - base survey,general,1
thomas,body composition,general,1
thomas,metabolic syndrome,general,1
time,large magnitude,general,1
timing,sleep,general,1
timing,sleep quality,general,1
tnf - a,disruption,general,1
tosh sm,ability,general,1
total,gastrointestinal tract,general,1
total,low concentration,general,1
total night rem sleep percentage,majority,general,1
total water consumption,constipation,general,1
total water consumption,increase risk,general,1
traditional rt,significant hypertrophy,general,1
traditional strength,small reduction,general,1
traditional velocity,fatigue,general,1
training,crease,general,1
chronic elevate ros,alter intracel lular epigenetic modulation,general,1
training,è11 great strength increase,general,1
training frequency,similar increase,general,1
chronic elevate ros,heavy dependency,general,1
training order,favorable change,general,1
training status,susceptibility,general,1
chronic inflammation,telomere attrition,general,1
chronic insulin signal,follow,general,1
chronic insulin signal,increase incidence,general,1
chronic nicotine exposure,reduction,general,1
cicero,dyslipidaemia,general,1
transdermal nicotine,hunger,general,1
transdermal nicotine,weight gain,general,1
transdermal nicotine application,early wake - up time,general,1
transdermal nicotine application,increase sleep stage,general,1
cicero,hyperglycaemia,general,1
transplantation,anxiety - like and depression - like behavior,general,1
transplantation,associate metabolic disorder,general,1
transplantation,obesity,general,1
tration,healthy control,general,1
tration,shift,general,1
treatment,significant improvement,general,1
trp supplementation,contrast,general,1
trp supplementation,rise,general,1
trunk muscle activity,unstable squat movement,general,1
cicero,hypertension,general,1
cidence,advance age,general,1
circadian system,apnea,general,1
circulat-,body fat,general,1
type,abundance,general,1
type,poor sleep quality,general,1
type,wide range,general,1
type 2 diabete,malignant transformation,general,1
type 2 diabete,uncontrollable increase,general,1
ulin,withincrease number,general,1
un process or minimally process food consumption,decrease odd,general,1
unchanged ce,health benefit,general,1
unchanged ce,significant s,general,1
claud ec,defective autophagy,general,1
climate change,poor sleep,general,1
clin ical consequence,patient,general,1
clinical intervention,microbial diversity,general,1
cock,aerobic capacity,general,1
unfermented gel component,laxation,general,1
unilateral training,bilateral strength,general,1
untrained female,performance,general,1
untrained participant,isometric strength,general,1
upf consumption,constipation,general,1
upf consumption,increase odd,general,1
upf consumption,increase risk,general,1
upf consumption great daily percentage intake,increase odd,general,1
upf intake,high odd,general,1
upregulate hif,glucose transporter glut1,general,1
cognitive and physical function,home ambient temperature,general,1
cognitive and physical function,sleep quality,general,1
van nood,insulin sensitivity,general,1
vanderlinde,glycemia,general,1
vanderlinde,vo2peak,general,1
vanduyn,dopamine neuron degeneration,general,1
variation,disruptive sleep effect,general,1
cognitive be havior therapy,additional weight loss,general,1
vdr deletion,vdr - conditional ko mouse,general,1
vdr eassociate molecular signal pathway,development,general,1
vdr eassociate molecular signal pathway,effect,general,1
vdr eassociate molecular signal pathway,progression,general,1
vdr interaction,antimicrobial peptide expression,general,1
vdr interaction,intestinal mucosal immunity,general,1
vdr interaction,pathogen invasion,general,1
vdr interaction,symbiont colonization,general,1
vdr signal pathway,intestinal mucosal barrier integrity,general,1
velazquez,non - alcoholic fatty liver disease,general,1
cohen,glycemia,general,1
velocity training,power - specific adaptation,general,1
versele,amyloid - β1 40 clearance,general,1
villa - rodriguez,bile acid,general,1
visceral obesity,cardiovascular disease,general,1
visceral obesity,diabetes,general,1
vitamin d,amp production,general,1
vitamin d,antimicrobial peptide expression,general,1
vitamin d,bacterial colonization,general,1
vitamin d,development,general,1
vitamin d,gut microbiota,nutrition_to_physiological,1
vitamin d,immune modulation,general,1
vitamin d,intestinal mucosal immunity,general,1
vitamin d,modulation,general,1
vitamin d,pathogen invasion,general,1
cohen,vo2peak,general,1
vitamin d,regulation,general,1
vitamin d,symbiont colonization,general,1
vitamin d administration,tj barrier impairment 81e83,general,1
vitamin d deﬁciency,decrease expression,general,1
vitamin d deﬁciency,epithelial barrier dysfunction,general,1
vitamin d deﬁciency,intestinal inﬂammation,general,1
vitamin d deﬁciency,microbial imbalance,general,1
vitamin d deﬁciency,secretion,general,1
vitamin d deﬁciency,tnf - a and interferon ifn g,general,1
vitamin d inadequacy,suscep-,general,1
vitamin d supplementation,addition,general,1
vitamin d supplementation,dose - dependent increase,general,1
combination,bowel function,general,1
combination,characteristic,general,1
combination,pathologic score,general,1
combination,secretion,general,1
combine exercise protocol,high energy expenditure,general,1
vrieze,insulin sensitivity,general,1
wang,intestinal barrier function,general,1
waso,5 of 6 study,general,1
waso,ﬁrst half,general,1
water - base ex ercise,health - relate aspect,general,1
water l r,metabolic reprogramming,general,1
water l r,mitochondrial remodeling,general,1
combine resistance and endurance training,performance,general,1
week,change,general,1
weight loss,outcome,general,1
weight loss intervention,telomere shortening,general,1
well chair test performance,change,general,1
well quality sleep,daytime physical activity,sleep_to_activity,1
whisner cm,gut microbiome,general,1
white light source,nearly 20 suppression,general,1
whole - grain cereal - rich diet,plasma betaine,general,1
winn,nonalcoholic fatty liver disease risk,general,1
withdrawal,sleep,general,1
combine resistance and endurance training,physical capacity,general,1
wolever tm,ability,general,1
wolever tm,breath methane,general,1
wolever tm,serum acetate concentration,general,1
wolf,metabolic reprogramming,general,1
wolf,mitochondrial remodeling,general,1
woman,total sleep time,general,1
wong,dopamine neuron degeneration,general,1
work economy,reduction,general,1
work economy,time,general,1
1 25 oh 2d3,activity,general,1
1 25 oh 2d3,claudin-2 and down - regulate claudin-4,general,1
1 25 oh 2d3,claudin-7 83 overexpression,general,1
1 25 oh 2d3,up - regulate claudin-1,general,1
1 rm,high gain,general,1
1 study,subgroup analysis,general,1
10 g d psyllium,glycemic control proportional,general,1
10 week,maximal strength,general,1
110 50 75 yr postmenopausal woman,vo2max krauss et al,general,1
12 16 meditation,improvement,general,1
16 ces nhc,3 5 4 5 ces nhc,general,1
18 00 - 00 00 12 caffeine content,recent estimate,general,1
18 00 - 00 00 12 caffeine content,term,general,1
component,improve ment,general,1
2 - h exposure,measurable statistically reliable suppression,general,1
2 - h exposure,slight but not statistically signiﬁcant reduction,general,1
work hour,inadequate sleep quality,general,1
work hour,shorten total sleep time,general,1
wrong diagnosis,case,general,1
wu s,defective autophagy,general,1
xia y,defective autophagy,general,1
yamada k soluble fiber,management,general,1
component,mental health improvement,general,1
component,sleep,general,1
yoghurt,severity,general,1
yogurt,easy defecation,general,1
yogurt,signiﬁcantly great stool frequency,general,1
yogurt,soft stool,general,1
young t,elevated ghrelin,general,1
young t,increase body mass index,general,1
young t,reduce leptin,general,1
yr f m diagnosis outcome parameter,safety fruit - base laxative kiwi,general,1
