tipo_marcador,lema_marcador,causa,marcador,efeito,direcao,sentenca_original,arquivo_origem
verbo,aumentar,a introdução das variantes genéticas,aumenta,o valor preditivo do modelo,Causa -> Efeito,"Num modelo preditivo de hipertensão arterial, a introdução das variantes genéticas aumenta ligeiramente o valor preditivo do modelo.",OK Polimorfismo genético e HAS.pdf
verbo,levar,"A variante genética mutada ADD1 460W ,",leva,à alteração da actina,Causa -> Efeito,"A variante genética mutada ADD1 460W, leva à alteração da actina e têm demonstrado influenciar a expressão superficial e a velocidade máxima da Na+ - K+ ATPase e subsequentemente uma mais rápida reabsorção de Na+ tubular renal e a um aumento da pressão",OK Polimorfismo genético e HAS.pdf
verbo,aumentar,"uma atividade da proteína G ,",aumenta,a troca dos iões de Na+/H+,Causa -> Efeito,"Além do que, uma atividade aumentada da proteína G, aumenta a troca dos iões de Na+/H+ e associa-se a maiores níveis plasmáticos de Na+ e menores de potássio.",OK Polimorfismo genético e HAS.pdf
verbo,produzir,um defeito protéico específico,produz,um bloqueio metabólico que pode ter conseqüências patológicas,Causa -> Efeito,"Um distúrbio bioquímico geneticamente determinado, no qual um defeito protéico específico produz um bloqueio metabólico que pode ter conseqüências patológicas.",OK Glossério Genética.pdf
substantivo (causa),fator,Termo indistintamente aplicado a qualquer proteína necessária para,Fator,de transcrição,Causa -> Efeito,Fator de transcrição: Termo indistintamente aplicado a qualquer proteína necessária para iniciar ou regular a transcrição em eucariotos.,OK Glossério Genética.pdf
verbo,reduzir,o alho,reduziu,a pressão sanguínea sistólica e diastólica em doentes,Causa -> Efeito,"Em vários ensaios realizados no Oeste da Jamaica, demonstrou-se que o alho reduziu significativamente a pressão sanguínea sistólica e diastólica em doentes, administrando extrato ou em pó, em concentração de 240 – 960 mg/dia e não foram registrados quaisquer efeitos adversos graves decorrentes da utilização de alho20.",OK Efeito Fitoterápico e HAS.pdf
verbo,resultar,"O efeito da canela na PAS e na Parâmetros Antropométricos Diabéticos ( PAD ) ,",resultou,numa significativa da PAS e da PAD em doentes com diabetes tipo 2,Causa -> Efeito,"O efeito da canela na PAS e na Parâmetros Antropométricos Diabéticos (PAD), resultou numa redução significativa da PAS e da PAD em doentes com diabetes tipo 2.",OK Efeito Fitoterápico e HAS.pdf
verbo,reduzir,a suplementação com canela,reduziu,a PAS e a PAD,Causa -> Efeito,"Nos resultados de dois ensaios clínicos randomizados, indicaram que a suplementação com canela reduziu significativamente a PAS e a PAD em pacientes com diabetes tipo 2.",OK Efeito Fitoterápico e HAS.pdf
verbo,levar,Dos 17 artigos selecionados,levaram,a revisão sistemática de estudos dos últimos 5 anos,Causa -> Efeito,Dos 17 artigos selecionados levaram em consideração a revisão sistemática de estudos dos últimos 5 anos.,OK Efeito Fitoterápico e HAS.pdf
verbo,reduzir,A prevenção da atividade enzimática da ECA,reduz,a pressão,Causa -> Efeito,"A prevenção da atividade enzimática da ECA através do mecanismo de inibição reduz a pressão elevada, aumenta a disponibilidade de bradicinina e melhora a condição dos hipertensos.",OK Efeito Fitoterápico e HAS.pdf
verbo,aumentar,O risco de interações medicamentosas,aumenta,com o número de medicamentos prescritos,Causa -> Efeito,"O risco de interações medicamentosas aumenta exponencialmente com o número de medicamentos prescritos, estando os idosos em maior risco, devido à complexidade dos problemas clínicos, à necessidade de terapia crônica envolvendo múltiplos agentes e às alterações fisiológicas inerentes ao envelhecimento.",OK PLantas medicinais e farmacologia.pdf
verbo,contribuir,"A cultura popular de utilização de plantas , trazida através dos tempos ,",contribui,"para o uso indiscriminado dentro do contexto da automedicação , entendida como a utilização de medicamentos sem prescrição , orientação e/ou acompanhamento médico",Causa -> Efeito,"A cultura popular de utilização de plantas, trazida através dos tempos, contribui para o uso indiscriminado dentro do contexto da automedicação, entendida como a utilização de medicamentos sem prescrição, orientação e/ou acompanhamento médico.",OK PLantas medicinais e farmacologia.pdf
verbo,resultar,O efeito,resulta,"da ação dos fármacos envolvidos no mesmo receptor ou enzima ,",Causa -> Efeito,"O efeito resulta da ação dos fármacos envolvidos no mesmo receptor ou enzima, as interações com os receptores biológicos são modificadas, resultando em sinergismo ou antagonismo.",OK PLantas medicinais e farmacologia.pdf
verbo,levar,Investigações fitoquímicas,levaram,"ao isolamento de flavonóides , terpenóides , cumarinas e óleos essenciais",Causa -> Efeito,"Investigações fitoquímicas levaram ao isolamento de flavonóides, terpenóides, cumarinas e óleos essenciais.",OK PLantas medicinais e farmacologia.pdf
substantivo (causa),risco,"Farmacodinâmica Hipotensão[20,27",Risco,de hemorragias e alterações na coagulação sanguínea,Causa -> Efeito,"Risco de hemorragias e alterações na coagulação sanguínea Farmacodinâmica Hipotensão[20,27] Betabloqueadores",OK PLantas medicinais e farmacologia.pdf
verbo,resultar,A associação da espécie com medicamentos depressores do SNC como sedativos e hipnóticos,resulta,em interação sinérgica,Causa -> Efeito,"A associação da espécie com medicamentos depressores do SNC como sedativos e hipnóticos resulta em interação sinérgica, com consequente potencialização dos efeitos sedativos.",OK PLantas medicinais e farmacologia.pdf
verbo,elevar,"A associação de A. sativum e anticoagulantes orais , heparina , agentes trombolíticos , antiagregantes plaquetários e anti-inflamatórios",eleva,"o risco de hemorragias , sangramentos espontâneos e desordens plaquetárias",Causa -> Efeito,"A associação de A. sativum e anticoagulantes orais, heparina, agentes trombolíticos, antiagregantes plaquetários e anti-inflamatórios não-esteroidais eleva o risco de hemorragias, sangramentos espontâneos e desordens plaquetárias.",OK PLantas medicinais e farmacologia.pdf
verbo,resultar,A associação do uso com insulina,resulta,em interação por sinergismo de ação,Causa -> Efeito,A associação do uso com insulina também resulta em interação por sinergismo de ação.,OK PLantas medicinais e farmacologia.pdf
verbo,reduzir,o carnosol,reduz,a expressão da COX2,Causa -> Efeito,"Ao ácido carnósico também foi atribuída a capacidade de redução da produção de óxido nítrico, via inativação de NF-κB, enquanto o carnosol reduz a expressão da COX2.",OK PLantas medicinais e farmacologia.pdf
verbo,levar,"O estudo fitoquímico da espécie , ácido p-cumárico , quercetina , kaempferol e as enzimas ( papaína , caricaína e quimiopapaína )",levou,"ao isolamento de isotiocianato de benzila , licopeno , ácido ferúlico , ácido clorogênico , ácido cafeico",Causa -> Efeito,"O estudo fitoquímico da espécie levou ao isolamento de isotiocianato de benzila, licopeno, ácido ferúlico, ácido clorogênico, ácido cafeico, ácido p-cumárico, quercetina, kaempferol e as enzimas (papaína, caricaína e quimiopapaína).",OK PLantas medicinais e farmacologia.pdf
verbo,resultar,A identificação do uso das plantas medicinais e a avaliação das potenciais interações com medicamentos,resultam,"na prevenção de riscos , danos e subsidia a conduta clínica dos profissionais de saúde e prescritores",Causa -> Efeito,"A identificação do uso das plantas medicinais e a avaliação das potenciais interações com medicamentos resultam na prevenção de riscos, danos e subsidia a conduta clínica dos profissionais de saúde e prescritores, contribuindo para o uso racional e segurança do paciente.",OK PLantas medicinais e farmacologia.pdf
verbo,aumentar,a prevalência de multimorbidade ( ocorrência de duas ou mais morbidades ),aumentado,estão entre as doenças crônicas mais citadas6,Causa -> Efeito,"No Brasil, a prevalência de multimorbidade (ocorrência de duas ou mais morbidades) tem aumentado, atingindo em 2017 cerca de 23,6% da população, especialmente as mulheres e indivíduos com mais de 60 anos, e a HAS e a DM estão entre as doenças crônicas mais citadas6.",OK TAI CHI E HAS.pdf
verbo,diminuir,"Intervenção , tamanho da amostra por ( número de duração por Principais resultados Sedentária n=39 ( S.t )",diminuiu,PASk,Causa -> Efeito,"Intervenção, tamanho da amostra por (número de duração por Principais resultados Sedentária n=39 (S.t) d TCc diminuiu PASk e PADl causou mudanças no PLnn (diminuiu CTv e aumentou C. Usuaise (medicação e educação)",OK TAI CHI E HAS.pdf
verbo,diminuir,d TCc,diminuiu,PASk,Causa -> Efeito,"Intervenção, tamanho da amostra por (número de duração por Principais resultados Sedentária n=39 (S.t) d TCc diminuiu PASk e PADl causou mudanças no PLnn (diminuiu CTv e aumentou C. Usuaise (medicação e educação)",OK TAI CHI E HAS.pdf
verbo,reduzir,TCc,reduziu,PAj,Causa -> Efeito,"Atividades relacionadas a exercícios PAj, IMCq, CTv, LDLw, HDLx, TGu, eGFRy, PLt, Gluz, TCc reduziu PAj, IMCq, normal, e melhorou o componente saúde física da QVRSgg.",OK TAI CHI E HAS.pdf
verbo,reduzir,e TCc,reduziu,PAj,Causa -> Efeito,"Não melhorou metabólica, (60 min.g, rápida n=16 PAj, nível de NOdd, COee e TCc reduziu PAj, HDLx e aumentou os níveis de NOdd, COee e H2Sff após 12 semanas.",OK TAI CHI E HAS.pdf
verbo,reduzir,TCc,reduziu,"PAj , IMCq e depressivos",Causa -> Efeito,"C. PAj, CChh, IMCq, SSll, depressão, TCc reduziu PAj, IMCq e depressivos; melhorou SSll e QRVSgg.",OK TAI CHI E HAS.pdf
verbo,diminuir,TCc,diminuiu,IMCq,Causa -> Efeito,"Após 3º mês, TCc diminuiu IMCq, FCr, PASk, PADl, PPo, TGu, CTv, LDL-Cw, Glu e melhorou QVRSgg.",OK TAI CHI E HAS.pdf
verbo,diminuir,"Programa de atividades livres n=10 FPGp , FPIq , GSPr , CTs , HDL-Ct , LDLCv , TGw , PAx , TC *",diminuiu,"FPGp , GSPr , TGw ,",Causa -> Efeito,"Programa de atividades livres n=10 FPGp, FPIq, GSPr, CTs, HDL-Ct, LDLCv, TGw, PAx, TC* diminuiu FPGp, GSPr, TGw, aumentou a concentração de FPIq.",OK TAI CHI E HAS.pdf
verbo,provocar,os efeitos imediatos do TC ( sessão única de 30 min ),provocaram,alterações significativas na PA Diastólica ( PAD ) central ou periférica16,Causa -> Efeito,"; 25: 641 -57 (02 a 12 meses de prática semanal), visto que os efeitos imediatos do TC (sessão única de 30 min) não provocaram alterações significativas na PA Diastólica (PAD) central ou periférica16.",OK TAI CHI E HAS.pdf
verbo,promover,o controle da PA,promove,"do risco cardiovascular entre indivíduos com HAS e DM22 , 3",Causa -> Efeito,"Assim, o controle da PA promove redução do risco cardiovascular entre indivíduos com HAS e DM22, 3.",OK TAI CHI E HAS.pdf
verbo,diminuir,o TC,diminui,a glicose,Causa -> Efeito,"Song et al 28 relatam que o TC diminui significativamente a glicose nos indivíduos com DM2 que realizaram prática com mais intensidade, mostrando que a intensidade e a frequência do exercício podem trazer resultados diferentes.",OK TAI CHI E HAS.pdf
substantivo (efeito),desfecho,Segundo os dados encontrados neste estudo,desfecho,"12-Item Short-Form Health Survey ( SF12)23 , 24 , Medical outcomes study",Efeito <- Causa,"Segundo os dados encontrados neste estudo, a QVRS foi um desfecho avaliado por seis autores, sendo três com indivíduos com HAS14, 23, 24 e três com indivíduos com DM228, 29, 30, sendo mensurada por meio da aplicação dos questionários: 12-Item Short-Form Health Survey (SF12)23, 24, Medical outcomes study 36-item short form (SF-36)15, 30 e 36-Item Short Form Health Survey, versão 2 (SF-36v2)28, 29.",OK TAI CHI E HAS.pdf
verbo,reduzir,o TC,reduziu,os níveis de ansiedade ( traço e estado ),Causa -> Efeito,"Assim, estudos com indivíduos com HAS14, 21, 24 demonstraram que o TC reduziu os níveis de ansiedade (traço e estado), de estresse percebido, e de depressão, além de melhorias no suporte social e autoeficácia relacionada a exercícios, pois são atividades geralmente praticadas em grupo, promovendo a interação social e companheirismo, diminuindo a solidão de seus Laís Renata Almeida Cezário, Ariane Vanessa Manoel, Stefany de Lima Gomes, Gláucia Maria Bovi Ambrosano, Anderson Taíra, Rosana de Fátima Possobon, Julicristie Machado de Oliveira, Karine Laura Cortellazzi Rev. APS.",OK TAI CHI E HAS.pdf
verbo,resultar,O baixo consumo de frutas,resulta,"em quase 1,3 milhões de mortes por acidente vascular cerebral ( AVC ) e mais de 520 mil mortes por doença cardíaca coronariana por ano",Causa -> Efeito,"O baixo consumo de frutas resulta em quase 1,3 milhões de mortes por acidente vascular cerebral (AVC) e mais de 520 mil mortes por doença cardíaca coronariana por ano, em todo o mundo e a adição de farinhas vegetais em pães pode ser uma alternativa para agregar valor nutricional e funcional, aumentando o consumo diário desse grupo de alimentos e atendendo às expectativas dos consumidores que buscam alimentos mais saudáveis.",OK Ora pro nobis PANC.pdf
verbo,gerar,O uso de farinha de ora-pro-nobis e bactéria probiótica,gera,expectativa positiva,Causa -> Efeito,O uso de farinha de ora-pro-nobis e bactéria probiótica em pães gera expectativa positiva nos respondentes.,OK Ora pro nobis PANC.pdf
verbo,acarretar,seu emprego como forma de potencializar,acarreta,benefícios aos pacientes,Causa -> Efeito,"Dessa forma, seu emprego como forma de potencializar o tratamento tradicional acarreta benefícios aos pacientes, como uso de Allium sativum e do Zingiber officinale, que possuem diversos mecanismos no sistema cardiovascular, logo, atuam na cardioproteção e apresentam efeitos antioxidantes (SEN; SAMANTA, 2015).",OK Plantas medicinais e DCV.pdf
verbo,acarretar,o tratamento tradicional,acarreta,benefícios aos pacientes,Causa -> Efeito,"Dessa forma, seu emprego como forma de potencializar o tratamento tradicional acarreta benefícios aos pacientes, como uso de Allium sativum e do Zingiber officinale, que possuem diversos mecanismos no sistema cardiovascular, logo, atuam na cardioproteção e apresentam efeitos antioxidantes (SEN; SAMANTA, 2015).",OK Plantas medicinais e DCV.pdf
verbo,reduzir,A T. arjuna,reduziu,as substâncias reativas ao ácido tiobarbitúrico ( TBARS ),Causa -> Efeito,"A T. arjuna reduziu as substâncias reativas ao ácido tiobarbitúrico (TBARS) no coração em uma dose dependente, ou seja, a peroxidação lipídica foi reduzida consideravelmente, além disso, demonstrou possuir o melhor potencial antioxidante de todas as plantas testadas.",OK Plantas medicinais e DCV.pdf
verbo,induzir,A aplicação de 70 mg / kg de estreptozocina ( STZ ),induziu,o desenvolvimento de diabetes,Causa -> Efeito,"A aplicação de 70 mg/kg de estreptozocina (STZ) em ratos induziu o desenvolvimento de diabetes, resultou em polidipsia, poliúria, polifagia e hiperglicemia estável.",OK Plantas medicinais e DCV.pdf
verbo,promover,Substâncias com capacidade de antagonizar tais receptores,promovem,hipotensão,Causa -> Efeito,"Substâncias com capacidade de antagonizar tais receptores promovem hipotensão, por reduzir a ativação desses adrenorreceptores e impossibilitar que as mencionadas ações hipertensoras aconteçam .",OK Plantas medicinais e DCV.pdf
verbo,promover,"A do volume circulatório , pela maior eliminação de água",promove,da pressão arterial,Causa -> Efeito,"A diminuição do volume circulatório, pela maior eliminação de água junto com esses íons promove redução da pressão arterial .",OK Plantas medicinais e DCV.pdf
verbo,reduzir,A respiração lenta,reduz,a PA,Causa -> Efeito,"A respiração lenta reduz de forma aguda a PA em hipertensos e melhora a sensibilidade barorreflexa, por isso, a prática dos pranayamas realizados de forma lenta e profunda durante o yoga, podem ser benéficos para pessoas com HAS.","OK Yoga, Reflexologia e HAS.pdf"
verbo,reduzir,A respiração lenta,reduz,a sensibilidade barorreflexa,Causa -> Efeito,"A respiração lenta reduz de forma aguda a PA em hipertensos e melhora a sensibilidade barorreflexa, por isso, a prática dos pranayamas realizados de forma lenta e profunda durante o yoga, podem ser benéficos para pessoas com HAS.","OK Yoga, Reflexologia e HAS.pdf"
verbo,produzir,A realização de várias sessões de exercícios físicos,produz,uma adaptação crônica que pode ser denominada de resposta ao treinamento físico,Causa -> Efeito,"A realização de várias sessões de exercícios físicos produz uma adaptação crônica que pode ser denominada de resposta ao treinamento físico, enquanto uma única sessão de exercício físico leva a comportamentos fisiológicos transitórios , sendo este o caso do presente estudo, que se propôs a verificar os efeitos agudos de uma única sessão de yoga.","OK Yoga, Reflexologia e HAS.pdf"
verbo,levar,uma única sessão de exercício físico,leva,a comportamentos fisiológicos transitórios,Causa -> Efeito,"A realização de várias sessões de exercícios físicos produz uma adaptação crônica que pode ser denominada de resposta ao treinamento físico, enquanto uma única sessão de exercício físico leva a comportamentos fisiológicos transitórios , sendo este o caso do presente estudo, que se propôs a verificar os efeitos agudos de uma única sessão de yoga.","OK Yoga, Reflexologia e HAS.pdf"
verbo,diminuir,", somente o grupo massagem",diminuiu,a PA sistólica e diastólica,Causa -> Efeito,"Já no segundo estudo onde comparou-se o efeito agudo da massagem laboral, somente yoga e a combinação das duas, somente o grupo massagem diminuiu significativamente a PA sistólica e diastólica, logo após a massagem.","OK Yoga, Reflexologia e HAS.pdf"
verbo,causar,a deficiência,causava,osteomalácia e osteoporose,Causa -> Efeito,"T e células apresentadoras de antígenos.2 Tradicionalmente, a vitamina D era associada apenas à saúde óssea, aceitando que a deficiência causava osteomalácia e osteoporose em adultos e raquitismo em crianças.3",OK Vitamina D e HAS.pdf
verbo,levar,Danos na unidade neurovascular,levam,"a hipoperfusão crônica , hipóxia , produção excessiva de fatores pró-inflamatórios e da utilização de óxido nítrico",Causa -> Efeito,"Danos na unidade neurovascular levam a hipoperfusão crônica, hipóxia, produção excessiva de fatores pró-inflamatórios e redução da utilização de óxido nítrico.",OK Óxido nítrico e HAS.pdf
substantivo (causa),fator,", fatores como sexo feminino , infecção , histórico de traumatismo cranioencefálico",fator,Apesar da idade,Causa -> Efeito,"Apesar da idade ser o principal fator de risco, fatores como sexo feminino, infecção, histórico de traumatismo cranioencefálico, perímetro cefálico, terapia de reposição hormonal (TRH), disfunção tireoidiana também são descritos como potenciais predisponentes a DV.",OK Óxido nítrico e HAS.pdf
verbo,aumentar,tais enzimas,aumentam,a produção de espécies reativas de oxigênio no envelhecimento,Causa -> Efeito,"Desse modo, tais enzimas aumentam a produção de espécies reativas de oxigênio no envelhecimento, tanto pelas células neuronais quanto pelas endoteliais, que induzem efeitos cerebrovasculares prejudiciais.",OK Óxido nítrico e HAS.pdf
verbo,gerar,o que estimula toxicidade neuronal e ativação dos astrócitos,gera,"hipóxia , hipoglicemia ,",Causa -> Efeito,"Vale salientar que a isquemia transitória também pode ser responsável por danos, uma vez que gera hipóxia, hipoglicemia, o que estimula toxicidade neuronal e ativação dos astrócitos.",OK Óxido nítrico e HAS.pdf
verbo,levar,Unidade Neurovascular Danos na unidade neurovascular,levam,"a hipoperfusão crônica , hipóxia , produção excessiva de fatores pró-inflamatórios , produção de ROS e da utilização de óxido",Causa -> Efeito,"Unidade Neurovascular Danos na unidade neurovascular levam a hipoperfusão crônica, hipóxia, produção excessiva de fatores pró-inflamatórios, produção de ROS e redução da utilização de óxido nítrico.14 3.4.3",OK Óxido nítrico e HAS.pdf
verbo,levar,Unidade Neurovascular Danos na unidade neurovascular,levam,nítrico.14 3.4.3,Causa -> Efeito,"Unidade Neurovascular Danos na unidade neurovascular levam a hipoperfusão crônica, hipóxia, produção excessiva de fatores pró-inflamatórios, produção de ROS e redução da utilização de óxido nítrico.14 3.4.3",OK Óxido nítrico e HAS.pdf
verbo,provocar,", como por exemplo , placas intracranianas",provocam,estase,Causa -> Efeito,"Dependendo da localização da lesão ateroscletótica, a influência na DV pode ser maior ou menor, como por exemplo, placas intracranianas provocam estase mais rapidamente que placas extracranianas.14",OK Óxido nítrico e HAS.pdf
verbo,provocar,", como por exemplo , placas intracranianas",provocam,que placas extracranianas.14,Causa -> Efeito,"Dependendo da localização da lesão ateroscletótica, a influência na DV pode ser maior ou menor, como por exemplo, placas intracranianas provocam estase mais rapidamente que placas extracranianas.14",OK Óxido nítrico e HAS.pdf
verbo,contribuir,os fatores cardiovasculares,contribui,para o declínio na incidência de demência nos idosos,Causa -> Efeito,"Foi observado que, nas últimas décadas, controlar os fatores cardiovasculares contribui para o declínio na incidência de demência nos idosos.",OK Óxido nítrico e HAS.pdf
verbo,resultar,e somente a quercetina,resultou,na da pressão arterial de indivíduos hipertensos,Causa -> Efeito,Foram observados que o resveratrol e quercetina exerceram efeito positivos sobre o endotélio vascular por aumentarem a dilatação mediada por fluxo (FMD) e somente a quercetina resultou na redução da pressão arterial de indivíduos hipertensos.,OK Composto bioativos HAS e endotélio.pdf
verbo,resultar,A disfunção no endotélio,resulta,na baixa produção de óxido nítrico ( NO ) pela enzima óxido nítrico,Causa -> Efeito,"A disfunção no endotélio, além de outras consequências, resulta na baixa produção de óxido nítrico (NO) pela enzima óxido nítrico sintase endotelial (eNOS) em resultado do aumento das citocinas inflamatórias, e, da degradação do NO pelo estresse oxidativo.",OK Composto bioativos HAS e endotélio.pdf
verbo,promover,A hiperinflamação,promove,a disfunção renal e vascular,Causa -> Efeito,"A hiperinflamação promove a disfunção renal e vascular, levando a danos aos órgãos-alvo.",OK Composto bioativos HAS e endotélio.pdf
verbo,gerar,Agressões ao endotélio,geram,uma resposta inflamatória e ao desequilíbrio na produção das substâncias vasodilatadoras e vasoconstritoras,Causa -> Efeito,"Agressões ao endotélio geram uma resposta inflamatória e ao desequilíbrio na produção das substâncias vasodilatadoras e vasoconstritoras, com atuação de diversos tipos celulares levando a um quadro de disfunção da célula endotelial, enrijecimento da parede vascular e formação da placa de aterosclerose.",OK Composto bioativos HAS e endotélio.pdf
verbo,induzir,A SIRT1,induz,a produção do NO pela eNOS,Causa -> Efeito,"A SIRT1, dentre outras funções, induz a produção do NO pela eNOS e inibe a via do NF-kB, tendo como consequência a vasodilatação dos vasos sanguíneos e a redução de processos inflamatórios como a aterosclerose, respectivamente .",OK Composto bioativos HAS e endotélio.pdf
verbo,promover,"A PKC inibida ,",promove,a vasodilatação,Causa -> Efeito,"A PKC inibida, promove a vasodilatação por um efeito sugestivo sobre a redução da expressão de endotelina-1 e aumento da síntese de NO .",OK Composto bioativos HAS e endotélio.pdf
verbo,induzir,a quercetina,induz,a ativação dos receptores β-adrenérgicos,Causa -> Efeito,"A primeira via, ilustra que após ser ingerida, a quercetina induz a ativação dos receptores β-adrenérgicos, este por sua vez, contribui para a vasodilatação dos vasos sanguíneos pelo aumento da expressão do óxido nítrico.",OK Composto bioativos HAS e endotélio.pdf
verbo,induzir,esta proteína,induz,a vasodilatação pela da expressão de endotelina-1 e aumento da síntese de óxido nítrico,Causa -> Efeito,"A segunda via é a da proteína quinase C, esta proteína induz a vasodilatação pela redução da expressão de endotelina-1 e aumento da síntese de óxido nítrico.",OK Composto bioativos HAS e endotélio.pdf
verbo,promover,a quercetina,promove,a melhora da função endotelial,Causa -> Efeito,"A terceira e última via ilustrada, é a via em que a quercetina promove a melhora da função endotelial ao reduzir o processo de aterosclerose pela redução do LDL oxidado.",OK Composto bioativos HAS e endotélio.pdf
verbo,promover,a catequina,promove,a melhora da função endotelial,Causa -> Efeito,"A outra via ilustrada, é a via em que a catequina promove a melhora da função endotelial ao reduzir o processo de aterosclerose pela redução do LDL oxidado.",OK Composto bioativos HAS e endotélio.pdf
verbo,aumentar,O uso do resveratrol em ambas as dosagens,aumentou,a FMD,Causa -> Efeito,O uso do resveratrol em ambas as dosagens aumentou significativamente a FMD quando comparados ao placebo.,OK Composto bioativos HAS e endotélio.pdf
verbo,levar,A suplementação de resveratrol,levou,a melhora da função endotelial desses pacientes,Causa -> Efeito,A suplementação de resveratrol levou a melhora da função endotelial desses pacientes.,OK Composto bioativos HAS e endotélio.pdf
verbo,reduzir,O consumo diário da quercetina,reduziu,a PA,Causa -> Efeito,O consumo diário da quercetina reduziu a PA em hipertensos.,OK Composto bioativos HAS e endotélio.pdf
verbo,aumentar,300 mg de trans-resveratrol,aumentou,a FMD,Causa -> Efeito,"De modo semelhante, Marques et al observaram em seu estudo que 300mg de trans-resveratrol aumentou significativamente a FMD, o que indica a melhora da função endotelial dos paciente com HAS, mesmo que não tenha afetado a pressão arterial .",OK Composto bioativos HAS e endotélio.pdf
verbo,aumentar,a ingestão de chá preto,aumentou,as células angiogênicas circulantes ( CACs ),Causa -> Efeito,"Em comparação com o placebo, a ingestão de chá preto aumentou as células angiogênicas circulantes (CACs), além de manter e reparar o endotélio, o que auxilia na regulação da sua função.",OK Composto bioativos HAS e endotélio.pdf
verbo,provocar,Os es­ tímulos que ocorrem na infância e adolescência,provocam,"respostas permanentes de adaptação , que produzem mudanças de longo prazo nas es­ truturas ou funções dos tecidos",Causa -> Efeito,"Os es­ tímulos que ocorrem na infância e adolescência provocam respostas permanentes de adaptação, que produzem mudanças de longo prazo nas es­ truturas ou funções dos tecidos, podendo levar à hipertrofia ventricular esquerda, lesão glomeru­ lar, espessamento da camada íntima dos vasos e lesões neuronais que afetariam a cognição, além de serem considerados fatores predisponentes para acidentes vasculares e aterosclerose1,13.",OK HAS  adolescente.pdf
verbo,motivar,"As dificuldades na realização de estudos a ní­ vel nacional , e a necessidade de conhecer os ní­ veis pressóricos e os fatores relacionados à HAS entre adolescentes",motivou,"a realização de um estudo local , com uma população de caracterís­ ticas peculiares como forma de se conhecer a distribuição da Pressão Arterial Elevada ( PAE )",Causa -> Efeito,"As dificuldades na realização de estudos a ní­ vel nacional, e a necessidade de conhecer os ní­ veis pressóricos e os fatores relacionados à HAS entre adolescentes motivou a realização de um estudo local, com uma população de caracterís­ ticas peculiares como forma de se conhecer a distribuição da Pressão Arterial Elevada (PAE), um forte preditor da HAS, e avaliar a associa­ ção com fatores demográficos, comportamen­ tais, alimentares e de atividade física, além de aptidão física, aspecto ainda não abordado na literatura nacional.",OK HAS  adolescente.pdf
verbo,levar,Esse acúmulo,levaria,"a uma maior atividade simpática , que por sua vez a reabsorção do só­ dio ,",Causa -> Efeito,"Esse acúmulo levaria a uma maior atividade simpática, que por sua vez aumentaria a reabsorção do só­ dio, causando aumento da resistência vascular pe­ riférica e, consequentemente, da pressão arterial3.",OK HAS  adolescente.pdf
verbo,levar,A gordura intra-abdominal,leva,a múltiplos mecanismos patogenéticos que contribuem para o desenvolvimento de HAS em obesos,Causa -> Efeito,A gordura intra-abdominal leva a múltiplos mecanismos patogenéticos que contribuem para o desenvolvimento de HAS em obesos.,OK HAS  adolescente.pdf
verbo,promover,não apenas para os profissionais de saúde,promoverem,as melhores evidências clínicas,Causa -> Efeito,"Dessa forma, e por fim, que este material sirva como um ponto de partida, não apenas para os profissionais de saúde promoverem as melhores evidências clínicas para o tratamento das intercorrências no ciclo grávido-puerperal, como também para conclamarem todos os atores envolvidos na prevenção da morte materna para atuar em suas fronteiras e evitar que nossas famílias sejam dilaceradas pela perda de vidas maternas.",OK manual_gestacao_alto_risco.pdf
verbo,reduzir,Essa estratégia,reduz,a fragmentação da atenção,Causa -> Efeito,"Essa estratégia reduz a fragmentação da atenção, consolida a responsabilização clínica, valoriza o cuidado interdisciplinar e regula as redes assistenciais.",OK manual_gestacao_alto_risco.pdf
verbo,aumentar,", portanto a combinação de vários fatores de risco intermediários ou de alto risco",aumentam,a complexidade da situação,Causa -> Efeito,"Há uma sinergia entre os fatores de risco, portanto a combinação de vários fatores de risco intermediários ou de alto risco aumentam a complexidade da situação, implicando maior vigilância e cuidado.",OK manual_gestacao_alto_risco.pdf
verbo,reduzir,O Brasil,reduziu,a sua RMM,Causa -> Efeito,"O Brasil reduziu a sua RMM em 50%, mas permanece em patamares considerados elevados, oscilando em torno de 50 óbitos maternos para 100 mil nascidos vivos.",OK manual_gestacao_alto_risco.pdf
verbo,reduzir,"e ao correto atendimento , diagnóstico e manejo dos quadros de abortamento infectado",reduzir,a morbidade e a mortalidade,Causa -> Efeito,"MINISTÉRIO DA SAÚDE Capacitação e instrumentalização das equipes de assistência, visando ao rápido e ao correto atendimento, diagnóstico e manejo dos quadros de abortamento infectado certamente vão reduzir a morbidade e a mortalidade.",OK manual_gestacao_alto_risco.pdf
substantivo (causa),fator,Gravidez ectópica prévia,fatores,de risco,Causa -> Efeito,Principais fatores de risco para prenhez ectópica: Gravidez ectópica prévia.,OK manual_gestacao_alto_risco.pdf
verbo,aumentar,a indução de contrações uterinas,aumenta,o risco de evolução para doença persistente e de embolização trofoblástica para vasos pulmonares,Causa -> Efeito,"Ressaltamos que o uso do misoprostol é unicamente para amadurecimento do colo e nunca com o objetivo de promover a expulsão do tecido molar, visto que a indução de contrações uterinas antes do esvaziamento da MH aumenta o risco de evolução para doença persistente e de embolização trofoblástica para vasos pulmonares.",OK manual_gestacao_alto_risco.pdf
